Oligo-ID,Gene symbols,Entrez gene IDs,RefSeq IDs,Gene IDs,Transcript IDs
A_23_P427083,TVP23C-CDRT4; CDRT4,TVP23C-CDRT4; CDRT4,NM_001204478.1; NM_001204477.1,ENSG00000259024,ENST00000522212; ENST00000312177
A_32_P184933,UBE2SP2; UBE2S; UBE2SP1,HRK; UBE2S,NM_014501.2,ENSG00000224126; ENSG00000108106; ENSG00000233966,ENST00000428091; ENST00000589978; ENST00000264552; ENST00000450587
A_23_P255016,UGGT1,UGGT1,NM_020120.3,ENSG00000136731,ENST00000375990; ENST00000465836; ENST00000418197; ENST00000259253; ENST00000376723
A_23_P55107,ULK2,ULK2,NM_001142610.1; NM_014683.3,ENSG00000083290,ENST00000395544
A_24_P619733,WDPCP; MDH1,WDPCP; MDH1,NM_015910.5; NM_005917.3; NM_001199111.1; NM_001199112.1,ENSG00000143951; ENSG00000014641,
A_23_P368847,WFDC10A,WFDC10A,NM_080753.2,ENSG00000180305,ENST00000372643
A_23_P382607,WNT4,WNT4,NM_030761.4,ENSG00000162552,ENST00000542383; ENST00000290167
Hs187991.2,WSB1,WSB1,NM_015626; NM_134265; NP_056441; NP_599027,ENSG00000109046,
A_32_P201329,ZBTB20,ZBTB20,,ENSG00000249395,
A_32_P5542,ZBTB20,ZBTB20,NM_001164343.1; NM_001164347.1; NM_001164345.1; NM_001164342.1; NM_015642.4; NM_001164344.1; NM_001164346.1,ENSG00000181722,
A_23_P100654,ZBTB4,ZBTB4,NM_001128833.1; NM_020899.3,ENSG00000174282,ENST00000311403; ENST00000380599
A_23_P168951,ZHX2,ZHX2,NM_014943.3,ENSG00000178764,ENST00000314393
A_24_P282108,ZZEF1,ZZEF1,NM_015113.3,ENSG00000074755,ENST00000381638
A_24_P40481,,,,,
A_24_P792988,,,,,
A_24_P838448,,,,,
A_32_P181564,,,,,
A_32_P393116,,,,,
A_32_P443610,,,,,
A_32_P6008,,,,,
A_32_P723356,,,,,
A_32_P800391,,,,,
A_32_P85753,,,,,
A_32_P86135,,,,,
Hs150167.1,,,,,
Hs387007.1,,,,,
Hs391327.1,,,,,
,,,,,
,,,,,
,,,*=transcriptionally repressed by MYCN in (SHEP-MYCN),,
,,,,,
,,,*=transcriptionally activated by MYCN in (SHEP-MYCN),,
